Informática 4;;;;;;
Hora;Segunda-feira;Terça-feira;Quarta-feira;Quinta-feira;Sexta-feira;
7:00;;;;;;abc
;;;;;;
7:50;;;;;;abc
;;;;;;
8:40;;;;;;abc
;;;;;;
9:30;INTERVALO;;;;;
;;;;;;
9:50;;;;;;abc
;;;;;;
10:40;;;;;;abc
;;;;;;
11:30;;;;;;abc
;;;;;;
12:20;ALMOÇO;;;;;
;;;;;;
13:00;Sociologia IV;Redes de Computadores;Física III;Desenvolvimento de Aplicações Web;;abc
;Rômulo Amorim;Erick;João Luiz;Moisés;;
13:50;Sociologia IV;Redes de Computadores;Física III;Desenvolvimento de Aplicações Web;Biologia III;abc
;Rômulo Amorim;Erick;João Luiz;Moisés;Dayana;
14:40;INTERVALO;;;;;
;;;;;;
15:00;História III;Análise e Projeto de Sistemas;Banco de Dados;Desenvolvimento de Aplicações Web;Biologia III;abc
;Divino;Nélio;Nélio;Moisés;Dayana;
15:50;História III;Análise e Projeto de Sistemas;Banco de Dados;Português IV;;abc
;Divino;Nélio;Nélio;Erivan;;
16:40;;;;Português IV;;abc
;;;;Erivan;;
17:30;JANTAR;;;;;
;;;;;;
18:00;;;;;;abc
;;;;;;
18:50;;;;;;abc
;;;;;;
19:40;;;;;;abc
;;;;;;
20:30;INTERVALO;;;;;
;;;;;;
20:40;;;;;;abc
;;;;;;
21:30;;;;;;abc
;;;;;;
