Informática 3;;;;;;
Hora;Segunda-feira;Terça-feira;Quarta-feira;Quinta-feira;Sexta-feira;
7:00;História II;Matemática III;Matemática III;Biologia II;Português III;abc
;Divino;Eduardo;Eduardo;Dayana;Erivan;
7:50;História II;Matemática III;Geografia III;Biologia II;Português III;abc
;Divino;Eduardo;Alexandre;Dayana;Erivan;
8:40;Sociologia III;Física II;Geografia III;Filosofia III;Biologia II;abc
;Rômulo Amorim;Arquimedes;Alexandre;Michel;Dayana;
9:30;INTERVALO;;;;;
;;;;;;
9:50;Sociologia III;Física II;Banco de Dados;Filosofia III;Química III;abc
;Rômulo Amorim;Arquimedes;Nélio;Michel;André;
10:40;Metodologia da Pesquisa Científica;Sistemas Operacionais;Banco de Dados;Programação Orientada a Objetos;Química III;abc
;Adriana;Rodrigo;Nélio;José Barros;André;
11:30;Metodologia da Pesquisa Científica;Sistemas Operacionais;Programação Orientada a Objetos;Programação Orientada a Objetos;;abc
;Adriana;Rodrigo;José Barros;José Barros;;
12:20;ALMOÇO;;;;;
;;;;;;
13:00;;;;;;abc
;;;;;;
13:50;;;;;Educação Física II;abc
;;;;;Ramon;
14:40;INTERVALO;;;;;
;;;;;;
15:00;;;;;Educação Física III;abc
;;;;;Ramon;
15:50;;;;;Educação Física II;abc
;;;;;Ramon;
16:40;;;;;;abc
;;;;;;
17:30;JANTAR;;;;;
;;;;;;
18:00;;;;;;abc
;;;;;;
18:50;;;;;;abc
;;;;;;
19:40;;;;;;abc
;;;;;;
20:30;INTERVALO;;;;;
;;;;;;
20:40;;;;;;abc
;;;;;;
21:30;;;;;;abc
;;;;;;
